Tree,Location,Freq,Microbe
t12,Idaho 2018,0.266666667,Bacteria
t24,Idaho 2018,0.133333333,Bacteria
t10,Idaho 2018,0.5,Bacteria
t16,Idaho 2018,0.466666667,Bacteria
t28,Idaho 2018,0.266666667,Bacteria
t27,Idaho 2018,0.533333333,Bacteria
sk5,Idaho 2018,0.633333333,Bacteria
sk6,Idaho 2018,0.266666667,Bacteria
sk4,Idaho 2018,0.333333333,Bacteria
t11,Idaho 2018,0.083333333,Bacteria
t17,Idaho 2018,0.25,Bacteria
t31,Idaho 2018,0.1,Bacteria
LOC,Idaho 2018,0.766666667,Bacteria
t22,Idaho 2018,0.3,Bacteria
t29,Idaho 2018,0.016666667,Bacteria
sk9,Idaho 2018,0.25,Bacteria
t18,Idaho 2018,0.033333333,Bacteria
sk1,Idaho 2018,0.5,Bacteria
t2,Idaho 2018,0.283333333,Bacteria
t19,Idaho 2018,0,Bacteria
t26,Idaho 2018,0.116666667,Bacteria
sk7,Idaho 2018,0.55,Bacteria
B334,Oregon 2017,0,Bacteria
GW9857,Oregon 2017,0,Bacteria
B868,Oregon 2017,0,Bacteria
B279,Oregon 2017,0,Bacteria
B328,Oregon 2017,0,Bacteria
GW9765,Oregon 2017,0,Bacteria
GW9829,Oregon 2017,0,Bacteria
B45,Oregon 2017,0,Bacteria
t12,Idaho 2018,0.266666667,Fungi
t24,Idaho 2018,0.233333333,Fungi
t10,Idaho 2018,0.4,Fungi
t16,Idaho 2018,0,Fungi
t28,Idaho 2018,0.033333333,Fungi
t27,Idaho 2018,0.083333333,Fungi
sk5,Idaho 2018,0.2,Fungi
sk6,Idaho 2018,0.233333333,Fungi
sk4,Idaho 2018,0.633333333,Fungi
t11,Idaho 2018,0.4,Fungi
t17,Idaho 2018,0.033333333,Fungi
t31,Idaho 2018,0.216666667,Fungi
LOC,Idaho 2018,0.25,Fungi
t22,Idaho 2018,0.133333333,Fungi
t29,Idaho 2018,0.05,Fungi
sk9,Idaho 2018,0.65,Fungi
t18,Idaho 2018,0,Fungi
sk1,Idaho 2018,0.083333333,Fungi
t2,Idaho 2018,0.383333333,Fungi
t19,Idaho 2018,0,Fungi
t26,Idaho 2018,0.166666667,Fungi
sk7,Idaho 2018,0.133333333,Fungi
B334,Oregon 2017,0.13,Fungi
GW9857,Oregon 2017,0.03,Fungi
B868,Oregon 2017,0.03,Fungi
B279,Oregon 2017,0.15,Fungi
B328,Oregon 2017,0.06,Fungi
GW9765,Oregon 2017,0.03,Fungi
GW9829,Oregon 2017,0.03,Fungi
B45,Oregon 2017,0,Fungi
