Seed,Treatment,Germ_6_10 ,Germ_6_14,Germ_6_20,Mort_6_20,Notes
1,Control,0,1,1,0,
2,Control,1,1,1,0,
3,Control,1,1,1,0,
4,Control,1,1,1,0,
5,Control,1,1,1,0,
6,Control,1,1,1,0,
7,Control,1,1,1,0,
8,Control,1,1,1,0,
9,Control,1,1,1,0,
10,Control,1,1,1,0,
11,Control,0,0,1,0,
12,Control,1,1,1,1,Fungus
13,Control,1,1,1,0,
14,Control,1,1,1,0,
15,Control,1,1,1,0,
16,Control,1,1,1,0,
17,Control,1,1,1,0,
18,Control,1,1,1,0,
19,Control,0,0,1,0,
20,Control,1,1,1,0,
21,Control,1,1,1,0,
22,Control,1,1,1,0,
23,Control,1,1,1,0,
24,Control,1,1,1,0,
25,Control,1,1,1,0,
26,Control,1,1,1,0,
27,Control,1,1,1,0,
28,Control,1,1,1,0,
29,Control,1,1,1,0,
30,Control,1,1,1,0,
31,Control,1,1,1,0,
32,Control,1,1,1,0,
33,Control,0,1,1,0,
34,Control,1,1,1,0,
35,Control,1,1,1,0,
36,Control,1,1,1,0,
37,Control,1,1,1,0,
38,Control,0,0,1,0,
39,Control,1,1,1,0,
40,Control,1,1,1,0,
41,Control,1,1,1,0,
42,Control,1,1,1,0,
43,Control,1,1,1,0,
44,Control,1,1,1,0,
45,Control,1,1,1,0,
46,Control,1,1,1,0,
47,Control,1,1,1,0,
48,Control,1,1,1,0,
49,Control,1,1,1,0,
50,Control,1,1,1,0,
51,Pseudo,1,1,1,1,
52,Pseudo,0,1,0,0,
53,Pseudo,0,1,1,0,
54,Pseudo,0,1,0,0,
55,Pseudo,0,0,1,0,
56,Pseudo,0,1,1,1,
57,Pseudo,1,1,1,0,
58,Pseudo,1,1,0,0,
59,Pseudo,0,1,1,0,
60,Pseudo,0,0,1,1,
61,Pseudo,0,1,1,0,
62,Pseudo,1,1,1,1,
63,Pseudo,0,0,1,0,
64,Pseudo,0,0,1,1,
65,Pseudo,0,0,1,1,
66,Pseudo,0,0,1,0,
67,Pseudo,0,1,0,0,
68,Pseudo,0,1,0,0,
69,Pseudo,1,1,1,0,
70,Pseudo,0,1,0,0,
71,Pseudo,0,0,0,0,
72,Pseudo,0,1,1,0,
73,Pseudo,0,1,0,0,
74,Pseudo,0,0,1,1,
75,Pseudo,0,0,1,0,
76,Pseudo,0,1,0,0,
77,Pseudo,0,0,0,0,
78,Pseudo,0,1,0,0,
79,Pseudo,0,0,1,0,
80,Pseudo,0,1,0,0,
81,Pseudo,0,0,1,0,
82,Pseudo,1,1,1,1,
83,Pseudo,0,0,1,0,
84,Pseudo,0,1,1,0,
85,Pseudo,0,0,1,0,
86,Pseudo,0,0,1,0,
87,Pseudo,0,1,1,0,
88,Pseudo,1,1,1,1,
89,Pseudo,0,1,0,0,
90,Pseudo,0,1,0,0,
91,Pseudo,0,1,1,1,
92,Pseudo,1,1,1,0,
93,Pseudo,1,1,1,1,
94,Pseudo,1,1,1,0,
95,Pseudo,0,0,1,0,
96,Pseudo,0,1,1,0,
97,Pseudo,0,1,1,0,
98,Pseudo,0,1,1,0,
99,Pseudo,0,1,1,0,
