Fungal_isolate,Sampling_effort
Alternaria,Idaho 2018
Alternaria,Idaho 2018
Alternaria,Idaho 2018
Alternaria,Idaho 2018
Alternaria,Idaho 2018
Asteroma,Idaho 2018
Aureobasidium,Oregon 2017
Aureobasidium,Idaho 2018
Aureobasidium,Oregon 2017
Aureobasidium,Oregon 2017
Aureobasidium,Oregon 2017
Boeremia ,Oregon 2017
Boeremia ,Oregon 2017
Boeremia ,Oregon 2017
Botrytis,Oregon 2017
Botrytis,Oregon 2017
Cladosporium,Idaho 2018
Cladosporium,Idaho 2018
Cladosporium,Idaho 2018
Cladosporium,Oregon 2017
Cladosporium,Oregon 2017
Cladosporium,Oregon 2017
Cladosporium,Oregon 2017
Colletotrichum,Oregon 2017
Crocicreas,Oregon 2017
Crocicreas,Oregon 2017
Crocicreas,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Diaporthe,Oregon 2017
Didymella,Oregon 2017
Epicoccum,Idaho 2018
Epicoccum,Idaho 2018
Herpotrichia,Oregon 2017
Valsa,Idaho 2018
